Affinati 	"Campo del sangue"
Affinati 	"L uomo del futuro"
Ammaniti 	"Fango"
Ammaniti 	"Ti Prendo E Ti Porto Via"
Ammaniti 	"Io non ho paura"
Ammaniti 	"Come Dio Comanda"
Bajani 	"Se consideri le colpe"
Bajani 	"Ogni promessa"
Bajani 	"Mi Riconosci"
Balzano 	"Il figlio del figlio"
Balzano 	"L ultimo arrivato"
Baricco 	"Castelli di rabbia"
Baricco 	"Oceano mare"
Baricco 	"City"
Baricco 	"Questa storia"
Benni 	"Il Bar Sotto il Mare"
Benni 	"Margherita Dolcevita"
Benni 	"Di Tutte Le Ricchezze"
Brizzi 	"Jack Frusciante e uscito dal gruppo"
Brizzi 	"Inattesa piega degli eventi"
Brizzi 	"Il matrimonio di mio fratello"
Carofiglio 	"Testimone inconsapevole"
Carofiglio 	"Ad Occhi Chiusi"
Carofiglio 	"Il passato e una terra straniera"
Carofiglio 	"Ragionevoli Dubbi"
Carofiglio 	"Le perfezioni provvisorie"
Carofiglio 	"Silenzio dell onda"
Carofiglio 	"Bordo vertiginoso delle cose"
Carofiglio 	"Mutevole verita"
Carofiglio 	"Regola Equilibrio"
Covacich 	"A perdifiato"
Covacich 	"Prima di sparire"
DeLuca 	"Non ora non qui"
DeLuca 	"Tu mio"
DeLuca 	"Tre cavalli"
DeLuca 	"Sulla traccia di Nives"
DeLuca 	"Il giorno prima della felicita"
DeLuca 	"E disse"
DeLuca 	"I pesci non chiudono gli occhi"
DeLuca 	"Il torto del soldato"
DeLuca 	"La doppia vita dei numeri"
DeLuca 	"La parola contaria"
DeSilva 	"La donna di scorta"
DeSilva 	"Certi bambini"
DeSilva 	"Voglio guardare"
DeSilva 	"Non avevo capito niente"
DeSilva 	"Mia suocera beve"
DeSilva 	"Sono contarario alle emozioni"
DeSilva 	"Mancarsi"
DeSilva 	"Terapia di coppia per giovani amanti"
Faletti 	"Io Uccido"
Faletti 	"Niente di vero tranne gli occhi"
Faletti 	"Fuori da un evidente destino"
Faletti 	"Io sono Dio"
Faletti 	"Tre atti e due tempi"
Ferrante 	"L amore molesto"
Ferrante 	"I giorni dell abbandono"
Ferrante 	"La frantumaglia"
Ferrante 	"La figlia oscura"
Ferrante 	"L amica geniale"
Ferrante 	"Storia del nuovo cognome"
Ferrante 	"Storia di chi fugge e di chi resta"
Ferrante 	"Storia della bambina perduta"
Fois 	"Stirpe"
Fois 	"Nel Tempo Di Mezzo"
Fois 	"Ex voto"
Giordano 	"La solitudine dei numeri primi"
Giordano 	"Il corpo umano"
Giordano 	"Il nero e l argento"
Lagioia 	"Tre sistemi per sbarazzarsi di Tolstoj"
Lagioia 	"Riportando tutto a casa"
Lagioia 	"La ferocia"
Maraini 	"Memorie di una ladra"
Maraini 	"La lunga vita di Marianna Ucria"
Maraini 	"Bagheria"
Maraini 	"Un clandestino a bordo"
Maraini 	"Dolce per se"
Maraini 	"Buio"
Maraini 	"La nave per Kobe"
Maraini 	"Passi affrettati"
Maraini 	"Il treno dell ultima notte"
Maraini 	"La ragazza di Via Maqueda"
Maraini 	"La grande festa"
Maraini 	"L amore rubato"
Maraini 	"Chiara d Assisi"
Maraini 	"La bambina e il sognatore"
Mazzantini 	"Non ti muovere"
Mazzantini 	"Venuto al mondo"
Mazzantini 	"Mare al mattino"
Mazzantini 	"Nessuno si salva da solo"
Mazzucco 	"Il bacio della medusa"
Mazzucco 	"Vita"
Mazzucco 	"Un giorno perfetto"
Mazzucco 	"Un giorno da cani"
Mazzucco 	"La lunga attesa dell angelo"
Mazzucco 	"Il bassotto e la regina"
Mazzucco 	"Limbo"
Mazzucco 	"Sei come sei"
Mazzucco 	"Io sono con te"
Milone 	"Poche moltissime cose"
Milone 	"Il silenzio del lottatore"
Montesano 	"Nel corpo di Napoli"
Montesano 	"Di questa vita menzognera"
Morazzoni 	"La ragazza col turbante"
Morazzoni 	"Il caso Courrier"
Murgia 	"Il Mondo Deve Sapere"
Murgia 	"Viaggio In Sardegna"
Murgia 	"Accabadora"
Murgia 	"Ave Mary"
Murgia 	"Chiru"
Nesi 	"Rebecca"
Nesi 	"Storia Della Mia Gente"
Nesi 	"L estate infinita"
Nori 	"Bassotuba non c e"
Nori 	"La matematica e scolpita nel granito"
Nori 	"Tredici favole belle e una brutta"
Parrella 	"Behave"
Parrella 	"Per grazia ricevuta"
Piccolo 	"Storie di primogeniti"
Piccolo 	"Allegro Occidentale"
Piccolo 	"Italia spensierata"
Piccolo 	"Separazione"
Piccolo 	"Momenti di trascurabile felicita"
Piccolo 	"Desiderio di essere come tutti"
Piccolo 	"Momenti di trascurabile infelicita"
Pincio 	"Lo spazio sfinito"
Pincio 	"L Hotel a Zero Stelle"
Pincio 	"Pulp Roma"
Prisco 	"Una spirale di nebbia"
Prisco 	"La provincia addormentata"
Raimo 	"Latte"
Raimo 	"Il peso della grazia"
Ramondino 	"Althénopis"
Ramondino 	"In Viaggio"
Ramondino 	"Isola riflessa"
Rea 	"Mistero Napoletano"
Rea 	"La dismissione"
Rea 	"La comunista"
Scarpa 	"Occhi sulla graticola"
